File Name,Peak Time (s),Peak Flux (counts/s),Peak Above bkg (counts/s),Decay Rate (/s),Start Time (s),End Time (s),Rise Time (s),Decay Time (s),Duration (s),Category of Flare
ch2_xsm_20200614_v1_level2_6pLLlqY,108864649.31832616,47.20039257414086,21.34039256985747,0.0012078743782338063,108863481.31832616,108867662.31832616,1168.0,3013.0,4181.0,[0]
ch2_xsm_20200614_v1_level2_6pLLlqY,108871848.31832616,40.94400691480242,17.3866717242931,0.003628103162921794,108867611.31832616,108874221.31832616,4237.0,2373.0,6610.0,[0]
ch2_xsm_20200614_v1_level2_6pLLlqY,108878854.31832616,43.03844965866769,24.871192957959458,0.0027984080079340116,108874235.31832616,108883874.31832616,4619.0,5020.0,9639.0,[3]
ch2_xsm_20200614_v1_level2_6pLLlqY,108885950.31832616,39.330797173480434,11.023624588971195,0.006902780999328317,108883955.31832616,108887566.31832616,1995.0,1616.0,3611.0,[0]
ch2_xsm_20200614_v1_level2_6pLLlqY,108892369.31832616,48.3859518728176,21.335026964694386,0.00028602101234395346,108887459.31832616,108905099.31832616,4910.0,12730.0,17640.0,[4]
ch2_xsm_20200614_v1_level2_6pLLlqY,108900094.31832616,42.0413525915971,16.513385629157717,0.004005106164526807,108897463.31832616,108902651.31832616,2631.0,2557.0,5188.0,[0]
ch2_xsm_20200614_v1_level2_6pLLlqY,108902989.31832616,41.48312197467123,14.753556130900066,0.00010127367247375804,108898270.31832616,108932813.31832616,4719.0,29824.0,34543.0,[1]
ch2_xsm_20200614_v1_level2_6pLLlqY,108914315.31832616,38.713120775303004,17.58855066830572,0.0005050055338902389,108909950.31832616,108921016.31832616,4365.0,6701.0,11066.0,[3]
ch2_xsm_20200614_v1_level2_6pLLlqY,108928618.31832616,41.97178434666324,19.348566149839407,0.0014652058249366678,108926888.31832616,108931223.31832616,1730.0,2605.0,4335.0,[0]
ch2_xsm_20200614_v1_level2_6pLLlqY,108942146.31832616,40.59004807627765,17.755729464738607,0.0002116095075476452,108937606.31832616,108957970.31832616,4540.0,15824.0,20364.0,[4]
ch2_xsm_20200614_v1_level2_6pLLlqY,108943006.31832616,42.067553475941295,17.804959585116507,0.001648234544121125,108941300.31832616,108945173.31832616,1706.0,2167.0,3873.0,[0]
ch2_xsm_20200614_v1_level2_6pLLlqY,108949144.31832616,44.7034004564909,20.957066639464898,0.000308738590468398,108944665.31832616,108960863.31832616,4479.0,11719.0,16198.0,[4]
