File Name,Peak Time (s),Peak Flux (counts/s),Peak Above bkg (counts/s),Decay Rate (/s),Start Time (s),End Time (s),Rise Time (s),Decay Time (s),Duration (s),Category of Flare
ch2_xsm_20200620_v1_level2,109382540.87354003,16.94042915371423,9.158643744641335,0.000762444819983523,109382476.87354003,109386538.87354003,64.0,3998.0,4062.0,[0]
ch2_xsm_20200620_v1_level2,109389331.87354003,19.781322830329884,10.470981641222725,0.004334032661987454,109386809.87354003,109391820.87354003,2522.0,2489.0,5011.0,[0]
ch2_xsm_20200620_v1_level2,109396386.87354003,16.471742408562918,5.0283108857281515,0.010057956390136048,109395210.87354003,109397474.87354003,1176.0,1088.0,2264.0,[0]
ch2_xsm_20200620_v1_level2,109396937.87354003,13.975614645316156,9.91727973050242,0.001379583852227951,109395615.87354003,109399418.87354003,1322.0,2481.0,3803.0,[0]
ch2_xsm_20200620_v1_level2,109403541.87354003,15.797459023141966,11.675803865466566,0.0023908599499825817,109398758.87354003,109407757.87354003,4783.0,4216.0,8999.0,[3]
ch2_xsm_20200620_v1_level2,109406081.87354003,24.31614997267132,26.33401624863378,0.00018091541034488123,109401478.87354003,109429348.87354003,4603.0,23267.0,27870.0,[1]
ch2_xsm_20200620_v1_level2,109413444.87354003,16.8372136967488,10.482053547985045,9.335776920702783e-05,109408778.87354003,109448169.87354003,4666.0,34725.0,39391.0,[1]
ch2_xsm_20200620_v1_level2,109420123.87354003,22.73562226796274,21.29893368070621,0.0002304304972947696,109415792.87354003,109437697.87354003,4331.0,17574.0,21905.0,[4]
ch2_xsm_20200620_v1_level2,109430847.87354003,16.131689574574473,7.850004342403583,0.0021773248411675276,109426386.87354003,109435283.87354003,4461.0,4436.0,8897.0,[3]
ch2_xsm_20200620_v1_level2,109431949.87354003,14.968782506583054,5.162497584375005,0.0015450279367892285,109431367.87354003,109433686.87354003,582.0,1737.0,2319.0,[0]
ch2_xsm_20200620_v1_level2,109437553.87354003,19.37796990784215,9.706448230117225,0.002593632562337854,109433266.87354003,109441659.87354003,4287.0,4106.0,8393.0,[3]
ch2_xsm_20200620_v1_level2,109439074.87354003,15.5966028423519,12.698329662081125,0.0003614219176437308,109438264.87354003,109448489.87354003,810.0,9415.0,10225.0,[3]
ch2_xsm_20200620_v1_level2,109446011.87354003,14.801660236937305,8.019473201254709,0.006065752080372108,109444210.87354003,109447790.87354003,1801.0,1779.0,3580.0,[0]
ch2_xsm_20200620_v1_level2,109453483.87354003,13.89743657614212,8.227306763190693,0.001624488313109194,109452137.87354003,109455589.87354003,1346.0,2106.0,3452.0,[0]
ch2_xsm_20200620_v1_level2,109459507.87354003,14.93602553683755,9.564727240364325,0.0005887348259344805,109455173.87354003,109466180.87354003,4334.0,6673.0,11007.0,[3]
